ticker_id,symbol,name,active,market_cap,exchange_code,country,sector,last_close,last_date,avg_volume_30d,price_data_points
36,KO,The Coca-Cola Company,1,50450256099.40868,NYSE,USA,,151.16984263727358,2025-11-01,2596005.966666667,30
37,MCD,McDonald's Corporation,1,206610136175.06668,NYSE,USA,,417.54519208833824,2025-11-01,2604862.7333333334,30
38,NKE,Nike Inc.,1,20042831184.275394,NYSE,USA,,81.29341283688433,2025-11-01,2733556.566666667,30
39,HD,The Home Depot Inc.,1,202756582039.78247,NYSE,USA,,245.48151996687915,2025-11-01,2940906.8333333335,30
40,LOW,Lowe's Companies Inc.,1,107965335305.235,NYSE,USA,,159.98298317012842,2025-11-01,2411310.3333333335,30
41,SBUX,Starbucks Corporation,1,63817447242.4393,NASDAQ,USA,,69.50324718822803,2025-11-01,2353583.7666666666,30
42,AMD,Advanced Micro Devices Inc.,1,170191358010.78098,NASDAQ,USA,,320.93887437955465,2025-11-01,2461971.3,30
43,PYPL,PayPal Holdings Inc.,1,278641572491.6907,NASDAQ,USA,,315.96174432410703,2025-11-01,2533965.8333333335,30
44,MRNA,Moderna Inc.,1,162961249843.72025,NASDAQ,USA,,316.3232002224748,2025-11-01,2261162.6666666665,30
45,ZM,Zoom Video Communications Inc.,1,41471896335.53111,NASDAQ,USA,,84.84334002978835,2025-11-01,2661989.066666667,30
46,DOCU,DocuSign Inc.,1,210132809950.3527,NASDAQ,USA,,473.6052170856832,2025-11-01,2706329.8666666667,30
47,SNOW,Snowflake Inc.,1,47676530466.7517,NYSE,USA,,80.87573459124468,2025-11-01,2719446.2666666666,30
48,UBER,Uber Technologies Inc.,1,23554615903.82619,NYSE,USA,,94.17847581118923,2025-11-01,2653792.7,30
49,ABNB,Airbnb Inc.,1,21418880147.710598,NASDAQ,USA,,170.14251616706983,2025-11-01,2589005.6333333333,30
50,COIN,Coinbase Global Inc.,1,126056955757.49663,NASDAQ,USA,,158.29973300697145,2025-11-01,3024308.566666667,30
